date,category,description,amount,payment_method
2025-08-01,Bills,Internet,1594,Cash
2025-08-01,Entertainment,Movie,1838,Card
2025-08-02,Education,Learning,3744,Bank Transfer
2025-08-02,Shopping,Electronics,1269,Bank Transfer
2025-08-03,Health,Pharmacy,2633,Bank Transfer
2025-08-03,Bills,Internet,1484,Bank Transfer
2025-08-03,Transport,Bus,332,Bank Transfer
2025-08-06,Shopping,Online Shopping,2547,Bank Transfer
2025-08-06,Bills,Water,2106,Card
2025-08-07,Education,Books,4958,Bank Transfer
2025-08-08,Bills,Water,1828,Cash
2025-08-08,Entertainment,Subscription,846,UPI
2025-08-10,Transport,Auto,680,Bank Transfer
2025-08-10,Health,Pharmacy,2241,UPI
2025-08-11,Entertainment,Games,1563,Bank Transfer
2025-08-12,Bills,Mobile,1075,Cash
2025-08-12,Shopping,Electronics,3652,Bank Transfer
2025-08-13,Bills,Electricity,1321,Card
2025-08-14,Transport,Auto,1580,Cash
2025-08-15,Transport,Auto,241,Card
2025-08-16,Bills,Electricity,1115,Cash
2025-08-17,Health,Doctor,1475,UPI
2025-08-17,Health,Medicine,2967,UPI
2025-08-17,Transport,Fuel,1156,Bank Transfer
2025-08-18,Food,Snacks,2385,Bank Transfer
2025-08-22,Entertainment,Movie,1567,UPI
2025-08-22,Bills,Water,1795,Cash
2025-08-23,Shopping,Clothing,891,Cash
2025-08-23,Shopping,Clothing,4974,UPI
2025-08-24,Education,Books,3399,Cash
2025-08-26,Bills,Electricity,802,Cash
2025-08-26,Health,Medicine,2346,Bank Transfer
2025-08-26,Health,Doctor,1770,UPI
2025-08-27,Entertainment,Subscription,1685,Cash
2025-08-27,Food,Groceries,652,Cash
2025-08-28,Education,Learning,4788,Cash
2025-08-29,Transport,Bus,971,UPI
2025-08-29,Shopping,Online Shopping,1363,Cash
2025-08-31,Entertainment,Games,2478,UPI
2025-08-31,Education,Learning,4936,Bank Transfer
2025-08-31,Entertainment,Subscription,1922,Cash
2025-09-01,Bills,Electricity,1897,UPI
2025-09-03,Bills,Water,1943,Bank Transfer
2025-09-04,Health,Pharmacy,1554,Bank Transfer
2025-09-04,Transport,Fuel,1451,UPI
2025-09-04,Education,Books,1606,Card
2025-09-06,Entertainment,Movie,1482,Cash
2025-09-06,Health,Doctor,848,Card
2025-09-06,Entertainment,Movie,1457,Bank Transfer
2025-09-07,Education,Learning,3745,Bank Transfer
2025-09-07,Food,Snacks,1286,Card
2025-09-07,Food,Restaurant,713,Bank Transfer
2025-09-08,Education,Books,1936,UPI
2025-09-09,Food,Coffee,2310,Card
2025-09-09,Transport,Auto,1669,Cash
2025-09-09,Entertainment,Movie,1861,Card
2025-09-11,Transport,Auto,1519,Cash
2025-09-11,Bills,Mobile,502,Bank Transfer
2025-09-11,Shopping,Clothing,1266,Card
2025-09-12,Entertainment,Games,397,Card
2025-09-12,Shopping,Online Shopping,6787,UPI
2025-09-12,Food,Snacks,336,Card
2025-09-13,Entertainment,Subscription,859,Bank Transfer
2025-09-13,Shopping,Online Shopping,1869,Cash
2025-09-13,Education,Learning,3519,Bank Transfer
2025-09-14,Bills,Internet,2259,Bank Transfer
2025-09-14,Education,Books,3219,UPI
2025-09-15,Bills,Internet,2269,Cash
2025-09-15,Education,Books,3669,Cash
2025-09-16,Bills,Water,923,UPI
2025-09-16,Bills,Water,1180,Card
2025-09-18,Health,Medicine,1383,Cash
2025-09-18,Education,Course,3470,Cash
2025-09-18,Shopping,Electronics,3691,UPI
2025-09-19,Bills,Mobile,1948,Bank Transfer
2025-09-19,Bills,Electricity,403,Bank Transfer
2025-09-19,Health,Doctor,2757,UPI
2025-09-20,Food,Groceries,2069,Card
2025-09-20,Transport,Bus,901,Cash
2025-09-21,Entertainment,Movie,360,Bank Transfer
2025-09-21,Food,Restaurant,1450,Bank Transfer
2025-09-21,Bills,Water,2219,Bank Transfer
2025-09-22,Shopping,Clothing,5235,UPI
2025-09-22,Bills,Mobile,769,Cash
2025-09-23,Health,Pharmacy,2285,Card
2025-09-25,Health,Doctor,2274,Card
2025-09-25,Entertainment,Games,1159,UPI
2025-09-27,Entertainment,Subscription,746,Bank Transfer
2025-09-27,Food,Snacks,166,Bank Transfer
2025-09-27,Bills,Electricity,1369,UPI
2025-09-28,Shopping,Clothing,1560,Bank Transfer
2025-10-01,Entertainment,Subscription,899,UPI
2025-10-02,Education,Course,1280,Bank Transfer
2025-10-02,Education,Course,3627,Cash
2025-10-02,Transport,Uber,645,Card
2025-10-03,Health,Pharmacy,1886,Card
